Date,CAPE
2022-03-13,0.009974129
2022-03-14,2.7611997
2022-03-15,21.557734
2022-03-16,21.944752
2022-03-17,66.38841
2022-03-18,11.526144
2022-03-19,0.4671841
2022-03-20,58.83037
2022-03-21,168.25905
2022-03-22,77.0289
2022-03-23,31.173033
2022-03-24,11.336091
2022-03-25,55.82411
2022-03-26,20.154753
2022-03-27,13.244009
2022-03-28,7.1846066
2022-03-29,40.436035
2022-03-30,102.75378
2022-03-31,189.27124
2022-04-01,463.30383
2022-04-02,939.9722
2022-04-03,553.2808
2022-04-04,176.81389
2022-04-05,255.74608
2022-04-06,206.81908
2022-04-07,314.6948
2022-04-08,238.37428
2022-04-09,494.0294
2022-04-10,948.6249
2022-04-11,993.37964
2022-04-12,1163.2788
2022-04-13,1164.269
2022-04-14,262.08215
2022-04-15,22.438011
2022-04-16,124.92038
2022-04-17,346.39423
2022-04-18,603.88806
2022-04-19,1066.9183
2022-04-20,1048.7418
2022-04-21,1581.1266
2022-04-22,725.18726
2022-04-23,76.0434
2022-04-24,11.729575
2022-04-25,13.547522
2022-04-26,44.479168
2022-04-27,247.62932
2022-04-28,1134.313
2022-04-29,956.7074
2022-04-30,1383.2758
2022-05-01,1504.9595
2022-05-02,1257.268
2022-05-03,1166.8995
2022-05-04,846.7813
2022-05-05,846.69446
2022-05-06,443.95953
2022-05-07,244.0816
2022-05-08,214.2584
2022-05-09,199.08197
2022-05-10,267.6268
2022-05-11,305.93527
2022-05-12,364.04233
2022-05-13,496.95834
2022-05-14,726.9413
2022-05-15,1072.1477
2022-05-16,790.91174
2022-05-17,955.4387
2022-05-18,1071.8231
2022-05-19,745.14954
2022-05-20,1147.9648
2022-05-21,1147.1836
2022-05-22,746.76434
2022-05-23,696.08136
2022-05-24,638.56946
2022-05-25,618.2044
2022-05-26,430.4206
2022-05-27,242.79062
2022-05-28,411.5483
2022-05-29,594.6774
2022-05-30,691.3702
2022-05-31,855.46814
2022-06-01,601.2153
2022-06-02,645.9506
2022-06-03,598.02356
2022-06-04,879.82764
2022-06-05,678.71814
2022-06-06,762.808
2022-06-07,962.8097
2022-06-08,958.6232
2022-06-09,1206.7766
2022-06-10,861.10254
2022-06-11,743.40894
2022-06-12,568.6033
2022-06-13,506.48563
2022-06-14,521.10315
2022-06-15,790.8513
2022-06-16,708.0186
2022-06-17,578.2692
2022-06-18,823.67786
2022-06-19,588.56384
2022-06-20,722.3991
2022-06-21,975.31085
2022-06-22,990.287
2022-06-23,722.26807
2022-06-24,700.00397
2022-06-25,306.6916
2022-06-26,220.99577
2022-06-27,268.1288
2022-06-28,242.02397
2022-06-29,605.4564
2022-06-30,797.94855
2022-07-01,1305.8099
2022-07-02,783.8834
2022-07-03,520.55054
2022-07-04,754.5637
2022-07-05,625.7357
2022-07-06,180.74152
2022-07-07,154.68216
2022-07-08,434.2913
2022-07-09,221.39723
2022-07-10,65.21739
2022-07-11,125.025566
2022-07-12,78.93478
2022-07-13,104.16003
2022-07-14,160.11046
2022-07-15,154.05177
2022-07-16,234.85962
2022-07-17,66.10532
2022-07-18,55.94989
2022-07-19,33.106346
2022-07-20,323.31757
2022-07-21,273.0692
2022-07-22,381.35928
2022-07-23,195.59872
2022-07-24,227.36969
2022-07-25,494.66058
2022-07-26,683.5395
2022-07-27,747.98926
2022-07-28,932.6307
2022-07-29,1045.2405
2022-07-30,865.59436
2022-07-31,756.83704
2022-08-01,475.21588
2022-08-02,611.33545
2022-08-03,926.727
2022-08-04,876.4222
2022-08-05,951.5283
2022-08-06,876.11127
2022-08-07,547.5172
2022-08-08,129.64543
2022-08-09,40.804604
2022-08-10,112.67593
2022-08-11,98.777985
2022-08-12,106.59075
2022-08-13,414.08502
2022-08-14,136.5175
2022-08-15,190.19643
2022-08-16,288.16373
2022-08-17,677.19867
2022-08-18,674.98456
2022-08-19,650.23395
2022-08-20,227.58408
2022-08-21,247.92865
2022-08-22,313.84464
2022-08-23,562.6468
2022-08-24,584.8415
2022-08-25,173.44727
2022-08-26,415.46365
2022-08-27,1028.543
2022-08-28,537.6078
2022-08-29,887.1474
2022-08-30,813.6781
2022-08-31,1174.7162
2022-09-01,993.3728
2022-09-02,934.669
2022-09-03,712.18066
2022-09-04,812.0943
2022-09-05,912.8667
2022-09-06,1133.688
2022-09-07,939.60706
2022-09-08,852.30444
2022-09-09,1119.2823
2022-09-10,762.0018
2022-09-11,254.13905
2022-09-12,354.88672
2022-09-13,509.89798
2022-09-14,540.4357
2022-09-15,523.2806
2022-09-16,531.9856
2022-09-17,641.876
2022-09-18,796.11395
2022-09-19,747.4507
2022-09-20,416.5103
2022-09-21,490.42212
2022-09-22,509.8428
2022-09-23,548.351
2022-09-24,641.50134
2022-09-25,562.1728
2022-09-26,954.7815
2022-09-27,1015.70795
2022-09-28,1063.3246
2022-09-29,995.873
2022-09-30,794.4989
2022-10-01,980.51495
2022-10-02,726.33264
2022-10-03,305.24063
2022-10-04,337.01385
2022-10-05,340.31384
2022-10-06,386.11963
2022-10-07,789.59924
2022-10-08,941.7232
2022-10-09,661.25977
2022-10-10,783.116
2022-10-11,694.8866
2022-10-12,424.97696
2022-10-13,367.8004
2022-10-14,181.87997
2022-10-15,100.41558
2022-10-16,75.90574
2022-10-17,110.35185
2022-10-18,103.19295
2022-10-19,38.62088
2022-10-20,21.822372
2022-10-21,13.696113
2022-10-22,23.923986
2022-10-23,32.482708
2022-10-24,75.16857
2022-10-25,2.1419525
2022-10-26,4.3019133
2022-10-27,3.6670752
2022-10-28,0.7611315
2022-10-29,0.1637391
2022-10-30,1.9369212
2022-10-31,2.5885246
2022-11-01,0.46337146
2022-11-02,1.0142974
2022-11-03,2.6123025
2022-11-04,3.3127723
2022-11-05,1.0330712
2022-11-06,7.320959
2022-11-07,7.89711
2022-11-08,7.086329
2022-11-09,12.950742
2022-11-10,6.8583198
2022-11-11,6.6970997
2022-11-12,0.011403867
2022-11-13,0.0
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.0012595316
2022-11-17,0.19192538
2022-11-18,0.007250817
2022-11-19,0.0044934643
2022-11-20,0.0
2022-11-21,0.0
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,0.0
2022-11-26,0.0
2022-11-27,0.0
2022-11-28,0.00051062094
2022-11-29,0.0
2022-11-30,0.0019403595
2022-12-01,0.0007148693
2022-12-02,0.001293573
2022-12-03,0.0021105665
2022-12-04,0.00017020697
2022-12-05,0.00040849674
2022-12-06,0.0
2022-12-07,0.0
2022-12-08,0.0
2022-12-09,0.0
2022-12-10,0.00078295206
2022-12-11,0.0016680283
2022-12-12,0.0068763616
2022-12-13,0.0007148693
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,0.0026552288
2022-12-19,0.0062976577
2022-12-20,1.7020697e-05
2022-12-21,0.0013956971
2022-12-22,0.000102124184
2022-12-23,0.012357026
2022-12-24,2.926709
2022-12-25,10.960853
2022-12-26,46.6201
2022-12-27,6.863766
2022-12-28,0.002416939
2022-12-29,0.00028935185
2022-12-30,0.09456699
2022-12-31,0.42161968
